ID,abdomen_brightness,avg_leafdark,avg_leaflight,white,grey1,grey2,grey3,grey4,grey5,grey6,grey7,black
157470,NA,14,33.66666667,181,155.3333333,126,105.6666667,61,34.33333333,18,10,11.33333333
157474,NA,20,44.33333333,174.6666667,148.6666667,115.6666667,85.33333333,56.33333333,38,22,10.33333333,11.33333333
157476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
157478,131.2450278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
157479,NA,22.66666667,64.33333333,177.6666667,155.3333333,125.3333333,88.66666667,65.66666667,39,21.33333333,6.333333333,9.333333333
157480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
157481,73.24098361,29.33333333,78.33333333,172.6666667,142.6666667,107.3333333,80,53,39.66666667,32,22,24.66666667
157482,NA,24.33333333,70,171.6666667,145.3333333,106.3333333,89.33333333,63,43.66666667,31.33333333,22,24
157486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
157487,46.00062617,6,46,166.6666667,141,107.3333333,75.33333333,49,30.66666667,19.33333333,9.333333333,6.666666667
157489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
157621,NA,35.66666667,104.3333333,NA,NA,NA,NA,NA,NA,NA,NA,NA
157623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
157627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
157702,55.55932701,18.66666667,47.33333333,223,198.6666667,166,131.6666667,86.66666667,47.33333333,22.66666667,8.333333333,11.33333333
157749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
157751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
157758,80.13938053,29.66666667,81,NA,NA,NA,NA,NA,NA,NA,NA,NA
157760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
157767,59.08199644,39.66666667,57.66666667,NA,NA,NA,NA,NA,NA,NA,NA,NA
157774,67.02385549,36,59.33333333,198.6666667,170.6666667,140.6666667,107.6666667,77,50.66666667,32.33333333,17.33333333,14.66666667
157786,50.94177656,18.66666667,44.33333333,202.3333333,175.6666667,145.3333333,113.6666667,80,56.33333333,35,25.33333333,22
157802,NA,53.33333333,104,NA,NA,NA,NA,NA,NA,NA,NA,NA
157831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
157928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
157938,66.79109753,25,78.66666667,NA,NA,NA,NA,NA,NA,NA,NA,NA
157943,109.4816908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
